,name,price,spec_score,votes,user_rating,os,weight,screen_size,resolution,battery,processor_name,processor_speed,graphics_card,rom_memory,internal_memory,wireless_connection,hardware_features
27,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹42,990",54,"2,534 votes • 19 reviews",4.3,OS: Windows 11,1.8 kgHeavy,15.6 inchesLarge,1920 x 1080 pixelsAverage,"43 Wh, 4 Cell BatteryGood",12th Gen Intel Core i5 1235U,2 x 1.3 GHz (Turbo Speed upto 4.4 GHz) Performance Cores8 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated UHD Graphics,8 GB LPDDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1",Inbuilt Microphone
28,Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹55,390",57,84 votes ,4.4,OS: Windows 11,1.37 kgLight,14 inchesSmall,1920 x 1080 pixelsAverage,"47 Wh, 3 Cell BatteryGood",12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated UHD Graphics Graphics,16 GB LPDDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.2","Backlit Keyboard, Inbuilt Microphone"
29,Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹89,999",70,65 votes ,4.6,OS: Windows 11,,15.6 inchesAverage,2560 x 1440 pixelsGood,,12th Gen Intel Core i7 12650H,6 x 2.3 GHz (Turbo Speed upto 4.7 GHz) Performance Cores4 x 1.7 GHz (Turbo Speed upto 3.5 GHz) Efficient Cores,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth","Backlit Keyboard, Inbuilt Microphone"
30,Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹79,990",68,108 votes ,4.1,OS: Windows 11,2.65 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,"56 Wh, 3 Cell BatteryGood",13th Gen Intel Core i5 13450HX,6 x (Turbo Speed upto 4.6 GHz) Performance Cores4 x (Turbo Speed upto 3.4 GHz) Efficient Cores,"6 GB, NVIDIA GeForce RTX 3050 GraphicsLarge",16 GB DDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.1","Backlit Keyboard, Inbuilt Microphone"
31,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹84,990",74,93 votes ,4.6,OS: Windows 11,1.3 kgLight,13.4 inchesSmall,1920 x 1200 pixelsGood,"62 Wh, 4 Cell BatteryGood",6th Gen AMD Ryzen 9 6900HS​,8 x 3.3 GHz (Turbo Speed upto 4.9 GHz) Cores,"4 GB, ‎NVIDIA GeForce RTX 3050 GraphicsAverage",16 GB LPDDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.2","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
32,Lenovo IdeaPad Slim 3 83ER008GIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹54,990",57,323 votes ,4.1,OS: Windows 11,1.62 kgLight,15.6 inchesLarge,1920 x 1080 pixelsAverage,"47 Wh, 3 Cell BatteryGood",12th Gen Intel Core i5 12450H,4 x 2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 1.5 GHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated UHD Graphics Graphics,16 GB LPDDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1","Backlit Keyboard, Inbuilt Microphone"
33,Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),"₹33,790",62,189 votes ,4.1,OS: Windows 11,1.7 kgAverage,15.6 inchesAverage,1920 x 1080 pixelsAverage,"45 Wh, 3 Cell BatteryGood",7th Gen AMD Ryzen 3 7330U,4 x 2.3 GHz (Turbo Speed upto 4.3 GHz) Cores,AMD Radeon AMD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
34,Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),"₹27,990",61,189 votes • 9 reviews,4.1,OS: Windows 11,1.76 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,38.5 Wh BatteryGood,12th Gen Intel Core i3 1215U,2 x 1.2 GHz (Turbo Speed upto 4.4 GHz) Performance Cores4 x 900 MHz (Turbo Speed upto 3.3 GHz) Efficient Cores,Intel Integrated Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.0",2 MP Camera
35,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),"₹44,990",65,102 votes • 2 reviews,4.3,OS: Windows 11,1.7 kgAverage,15.6 inchesAverage,1920 x 1080 pixelsAverage,"45 Wh, 3 Cell BatteryGood",7th Gen AMD Ryzen 7 7730U,8 x 2 GHz (Turbo Speed upto 4.5 GHz) Cores,AMD Radeon AMD Graphics,8 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
36,HP Victus 15-fa1128TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹65,990",64,90 votes ,4.6,OS: Windows 11,2.29 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,"52.5 Wh, 3 Cell BatteryGood",13th Gen Intel Core i5 13420H,4 x (Turbo Speed upto 4.6 GHz) Performance Cores4 x (Turbo Speed upto 3.4 GHz) Efficient Cores,"4 GB, NVIDIA GeForce RTX 2050 GraphicsAverage",16 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
37,Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹77,990",59,456 votes • 4 reviews,4.2,OS: Windows 11,2.6 kgHeavy,15.6 inchesAverage,1920 x 1080 pixelsAverage,,13th Gen Intel Core i5 13420H,4 x (Turbo Speed upto 4.6 GHz) Performance Cores4 x (Turbo Speed upto 3.4 GHz) Efficient Cores,"6 GB, NVIDIA GeForce RTX 4050 GraphicsLarge",16 GB DDR5 SDRAM RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.1","Backlit Keyboard, Inbuilt Microphone"
38,HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,20,900",78,154 votes ,4.7,OS: Windows 11,2.37 kgHeavy,16 inchesLarge,1920 x 1080 pixelsBad,"83 Wh, 6 Cell BatteryGood",7th Gen AMD Ryzen 7 7840HS,8 x 3.8 GHz (Turbo Speed upto 5.1 GHz) Cores,"8 GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16 GB DDR5 RAMAverage,1 TB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
39,HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),"₹19,979",44,"1,110 votes • 4 reviews",3.9,OS: DOS,1.47 kgAverage,15.6 inchesLarge,1366 x 768 pixelsBad,"41 Wh, 3 Cell BatteryGood",3rd Gen AMD Athlon 3050U,2 x 2.3 GHz (Turbo Speed upto 3.2 GHz) Cores,AMD Integrated Graphics,4 GB DDR4 RAMAverage,256 GB SSD,"WiFi, Bluetooth",Inbuilt Microphone
40,Acer One 14 Z8-415 ‎2023 Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),"₹33,990",55,"2,026 votes • 8 reviews",3.7,OS: Windows 11,1.49 kgLight,14 inchesSmall,1920 x 1080 pixelsAverage,"45.5 Wh, 2 Cell BatteryGood",11th Gen Intel Core i5  1135G7,4 x 2.4 GHz (Turbo Speed upto 4.2 GHz) Cores,‎Intel Iris Xe Graphics Graphics,16 GB DDR4 RAMLargest,512 GB SSD,"WiFi, Bluetooth v5.0",Inbuilt Microphone
41,Asus TUF Gaming A15 FA577NU-LP082W Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹89,990",73,144 votes • 7 reviews,4.1,OS: Windows 11,2.2 kgHeavy,15.6 inchesLarge,1920 x 1080 pixelsAverage,"90 Wh, 4 Cell BatteryGood",7th Gen AMD Ryzen 7 7735HS,8 x 3.2 GHz (Turbo Speed upto 4.75 GHz) Cores,"6 GB, NVIDIA GeForce RTX 4050 GraphicsAverage",16 GB DDR5 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.3","Backlit Keyboard, Inbuilt Microphone"
42,Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,990",66,308 votes ,4.1,OS: Windows 11,2.3 kgHeavy,15.6 inchesLarge,1920 x 1080 pixelsAverage,"48 Wh, 4 Cell BatteryGood",11th Gen Intel Core i5 11400H ,6 x 2.2 GHz (Turbo Speed upto 4.5 GHz) Cores,"4 GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16 GB DDR4 RAMAverage,512 GB SSD,"WiFi, Bluetooth v5.2","Backlit Keyboard, Inbuilt Microphone"
